Review,Rating
"This is my favorite German restaurant. I have eaten here at least 3 times. My favorite is the meatballs, perfectly done and very filling. I have tried meatballs at different places but nowhere is as good as this place's. Must try that out! I once took a friend who spent a year living in Germany there, and he agreed that the food here is very authentic.",5.0
The foods are not bad. The service is pretty good. The price is expensive for the type of food they serve! The place is STINKY! I spent 5 minutes in that place and came out smelling like I work there.,2.0
"I'm from Miami! And to be honest one of the TOP 5 restaurants in NYC or Brooklyn w.e.. Great stake, and well cozy it's small but nice!, and NO TVs! That was great!",5.0
"I love La Lanterna di Vittorio...Cappuccino & Fruitti di Bosco cake , caramel custard... Wine list, sandwiches etc ... Anything you order you will enjoy! My fave spot!!!",5.0
"Nori is a staple in my diet. It's one of the better sushi places in town, and it's about 2 blocks from my house...bonus. Because I like them, and because I go there frequently, it pains me to say that a lot of their standard sushi restaurant fare is just that...standard. Fish quality is very good, and I've never had anything from them that I've disliked...but I've had places I liked more. That being said, it's doubtful you'll be disappointed. Their special rolls are usually really good, though I could do without every sushi place throwing tempura crunch in every roll they make.",3.0
Found this restaurant here on yelp. Superb service and food. Very small and direct service with staff. Food is excellent and at a good price for the quality. A definite find and somewhere I would return to.,5.0
"I am incredibly disappointed with the restaurant. First of all, food was ok. The chicken liver was still my favorite dish ever, but the maialino al forno (the roast pork) was so salty that the skin was not edible. The skin was the best part of the dish. I was really disappointed. However the tiramisu gelato was also really good. But what made the restaurant lost another star is the waitress. I've dealt with the waitress before, and she was nice. Overly chatty, but still nice. I don't what is wrong with her tonight but she's the most unfriendly waitress i've ever had. So when we started, i mentioned that i wanted to get the maialino al forno. I wanted to order it first so, because i didn't see it on the menu. She went silent and gave me a ""what the hell do you want"" look. And then when we asked her which one is really good (we said that we would like something full but not to heavy), she said that it depends on your taste. Well that's an incredibly smart answer (i'm being super sarcastic)! But my patience broke when she asked how is the food and i answered the pork was too salty. She didn't speak and gave me a stare. A STARE! i haven't been stared with in a restaurant in my life. How can a waiter stare at you for saying the pork was too salty? She didn't even say anything else and just walked away. WTH? I am beyond disappointed. I think next time i will just have the chicken liver and pork belly to go and eat it peacefully at my home. PS: I even wrote ""You could be a lot friendlier"" on my bill. I think it's her period or something.",2.0
"There's not much to say here, AWESOME falafel sandwiches, and cheap! $2.50! I should note that this is not the ideal place to bring 10 people and expect to sit down, the restaurant is really small but they make the best falafels hands down.",5.0
YUM.  What else is there to say?,5.0
"Overall we had a very enjoyable brunch, although my girlfriend who is allergic to nuts found a few stray nuts in her meal, which were not among the ingredient list on the menu.  Luckily she noticed them immediately, was able to pick them out and still enjoy her meal. I suggest getting either the mango-jalapeno or habanero-pepper jack sausages along with your brunch.",3.0
