Review,Generated
Ive only had the pizza once I had a plane pie and it was satisfactory However Recently my boyfriend ordered the Da Mikele pizza and he said it was a 45 for a truffle pizza so we recommend that To be honest the only reason this review is getting three stars is because the pizza is very nice and yummy However this review is for the caesar salad which was lessthanlessthan satisfactory It had obviously been frozen because there was ice in it GROSS The croutons were simultaneously stale and damp Stale because they had clearly been in the freezer for a long time and damp because they had just been defrosted This made me sad as the pizza was very good However I could have gotten a cheaper and better caesar salad at the deli downstairs The dinner was 37 for a delicious large pie and a frozen and disgusting caesar salad which was 11 dollars I would recommend the pizza and probably not any salad,1
The place is cute and cozy and right in the heart of one of my favorite neighborhoods in the city Its a great place to stop in late and have a dessert and tea The staff are extremely friendly and make you feel right at home My wife and I enjoy Cluny when we are in the area,1
We found our way here in search of ceviche and left very satisfied Definitely try the ceviche obv lobster taquitos and sangria braised short ribs To top it off the service was excellent Well definitely be back,1
This place has potential The wait staff was attentive and knowledgeable about the menu and overall polite and helpful My husband tried the curry night buffet and seemed to enjoy most of the items Although he was skeptical initially since the entire buffet area was quite small and it didnt seem like there was much to choose from I was more keen on trying out the dosa so I ordered it from their menu We took a samosa chaat appetizer which was good For my main course I ordered the onion rava masala dosa When it came it was very soft undone and stuck to my plate The chutneys and sambar were very good though But the fact that the dosa wasnt well made ruined the entire course for me If only it were crispy I know what a good dosa is I am a South Indian and make them quite frequently for my family I believe the chef is a South Indian and therefore there is no reason why should have served it like this I appreciated the owner making her way around the tables and asking everyone how their orders were After some chit chat I subtly mentioned to her that my dosa is very soft and stuck to the plate since she asked for suggestions ways they could do better However she didnt really address the issue and rather casually thwarted off the topic She insisted a few times that we hit a like on her restaurant page in Facebook I know she wants to get the word out there but first impressions are important Overall I think I would be willing to give this place another try but probably not anytime soon The next time Im here and my dosa is actually wellmade maybe I will hit a like on their page,1
Love this place Food is yummy But Im definitely giving a chunk of my paycheck to this restaurant Lol Worth it,1
The grits and poached eggs are sooooo good Good enough to crave for days Everything here is fantastic including the service and atmosphere My husband loves the burger with egg  gets it every time,1
Very overpriced for what amounts to barely average quality food thats not particularly authentic BYOB but they dont have limes or an ice bucket Cash only is annoying The waitress dropped off the food and left without asking if we needed anything else like another knife which she scooped up from the table while clearing the appetizer plates Overall a disappointing dinner We wont be returning,1
Awseome Pizza Had the Lg with Sausage pepperoni and wild mushrooms The pizza had great flavors from the coal oven they use I have had wood fired and this compares This was second best to the Pizza i had when i was in Italy I will definately eat here again when i return to the east coast,1
I will be ordering this again The quality is good but its not really the best oneI bought this for a friend who has a small dog and she had a very large,0
One of the best pizzas Ive ever eaten So so good Need to go back asap Lines are long so I would suggest making a reservation Its also BYOB bring a bottle of wine so that you can enjoy it with the delicious pizza ,1
We were walking by ready to go home and get fast food due to the first restaurant being so busy and loud We walked by La Fourno and it caught our eye we went in and were asked if we had a reservation We did not our waiterhostess was able to squeeze us in and get us a table in 10 min The food was AMAZING The customer service was AMAZING The timeliness to get our food was alsoAMAZING It was such a family friendly atmosphere and all the wait staff and even owner were making sure we were happy with everything The bartender was one of the nicest bartenders ever Everything was perfect Its the perfect date night place We even were given hugs when we left I wish I could eat here every day,1
Perfect fit once broken in  I wear a 105 in shoes and a 105 in pants  This is the most,0
Awesome Cuban food great atmosphere and patio,1
I was very upset with their reservation policy I called the day before to make a reservation for 4 guests and was directed to email them instead Boy the manager was able to accommodate my request However we ran into some problems and informed them that we could not longer come so I CANCELLED IMMEDIATELY LESS THAN HALF AN HOUR LATER after making that reservation I DID NOT receive any confirmation on their behalf that it was confirmed or not The following day I noticed that I was being charged 100 50 off full charge for 4 guests 50person200 on my credit card so I called to question it I was informed that they knew I had cancelled then but when I asked about the charges made into my account they claimed that the moment I confirmed which again was the day before the kitchen was already preparing our food so they have to charge me AND EVEN THOUGH I CANCELLED HALF AN HOUR LATER THEY COULD NOT NO LONGER CANCEL BECAUSE AS THEY SAID THE KITCHEN WAS ALREADY PREPARING OUR FOOD THEN According to the manager regardless of the fact that I had cancelled immediately whether it be 30mins20mins OR EVEN 5 MINS he had already notified the kitchen and they started preparing from that point This was very upsetting to me not only it makes me question why our food is already being prepared the day before how come I did not receive any confirmation on their part and not get notified about these charges Im not the type to give bad reviews but this was by far the worst experience Ive had because it was completely unreasonable and unfair,1
One of my favorite brunch spots in the city A little bit of a wait never hurt anyone right You cant go wrong with their menu and the outdoor seating welcomes the cool Chelsea air while you and your friends enjoy yet another boozy brunch,1
Fantastic breakfast and awesome atmosphere Would recommend it to anyone looking for a delicious breakfast or lunch,1
Last night I came here with three friends and my dog we arrived around 730pm and left around 400am I love this place A few days ago I stumbled upon Fresh Salt and had a really delicious sandwich Speck Avocado Lettuce Tomato with really delicious chips Salt  Vinegar and a couple icecold dirtcheap beers during Happy Hour I raved about my experience so much that my friends insisted upon repeating it  There are so many factors that make it so incredibly easy to spend a lot of time here To name just a few the bartenders are really friendly the waitstaff never rushes you the prices are low the atmosphere is very comfortable and casual everybody is extremely dogfriendly and perhaps most of all there is a constant stream of random crosseyed drunkards fumbling  bumbling down the street coming from Beekmans There is no real restaurant or kitchen but the food manages to be consistently good Its just one guy that reheats things from various containers most likely made early in the morning then refrigerated throughout the day when somebody makes an order Fine by me Their meatloaf sandwich is fantastic their macaroni and cheese is great their potato salad is terrific and thats really all I need to keep me calm  cozy,1
Came for Sunday brunch The appeal of this restaurant is the chic casual country theme Loved the mason jars the bottles the pails etc The restaurant has a lot of space so its good for groups Its so great to not have to line up to get a decent meal Large portions definitely good for the men Lots of good oldfashioned country meals,1
